iter	Passed	Remaining
465	778	892
466	780	890
467	782	889
468	783	887
469	785	885
470	786	883
471	788	882
472	790	880
473	791	878
474	793	876
475	794	875
476	798	876
477	801	874
478	803	873
479	804	871
480	806	869
481	807	868
482	809	866
483	811	865
484	813	864
485	815	862
486	817	860
487	818	858
488	820	857
489	821	855
490	823	853
491	825	852
492	827	851
493	829	849
494	831	848
495	832	846
496	834	844
497	836	842
498	837	841
499	839	839
500	841	838
501	843	836
502	845	835
503	846	833
504	848	831
505	849	829
506	851	827
507	853	826
508	855	825
509	857	823
510	859	822
511	860	820
512	862	818
513	863	816
514	865	814
515	867	813
516	869	811
517	871	810
518	873	809
519	874	807
520	876	805
521	878	804
522	879	802
523	881	800
524	882	798
525	884	797
526	886	795
527	888	794
528	890	792
529	891	790
530	893	789
531	894	787
532	896	785
533	898	783
534	900	782
535	902	780
536	903	779
537	905	777
538	906	775
539	908	773
540	909	771
541	911	769
542	912	768
543	914	766
544	916	765
545	918	763
546	919	761
547	921	759
548	922	757
549	923	755
550	925	754
551	926	752
552	928	750
553	930	749
554	932	747
555	933	745
556	935	743
557	936	742
558	938	740
559	939	738
560	941	736
561	942	734
562	945	733
563	947	732
564	948	730
565	950	728
566	951	726
567	953	724
568	954	723
569	956	721
570	957	719
571	960	718
572	961	716
573	963	714
574	964	713
575	966	711
576	967	709
577	969	707
578	970	705
579	972	703
580	973	702
581	975	700
582	977	699
583	979	697
584	980	695
585	981	693
586	983	691
587	984	690
588	986	688
589	988	686
590	990	685
591	992	683
592	993	681
593	994	680
594	996	678
595	997	676
596	999	674
597	1000	672
598	1002	670
599	1003	669
600	1005	667
601	1007	665
602	1008	664
603	1010	662
604	1011	660
605	1012	658
606	1014	656
607	1015	654
608	1017	653
609	1019	651
610	1021	650
611	1022	648
612	1024	646
613	1025	644
614	1027	643
615	1028	641
616	1030	639
617	1031	637
618	1033	635
619	1034	634
620	1036	632
621	1038	630
622	1039	629
623	1041	627
624	1042	625
625	1044	623
626	1045	622
627	1047	620
628	1049	618
629	1050	617
630	1052	615
631	1054	613
632	1055	612
633	1057	610
634	1058	608
635	1060	606
636	1061	605
637	1063	603
638	1065	601
639	1067	600
640	1068	598
641	1070	596
642	1071	594
643	1073	593
644	1074	591
645	1076	589
646	1077	587
647	1079	586
648	1080	584
649	1082	583
650	1084	581
651	1085	579
652	1087	577
653	1089	576
654	1091	574
655	1093	573
656	1095	571
657	1097	570
658	1099	568
659	1100	567
660	1102	565
661	1103	563
662	1105	561
663	1106	560
664	1108	558
665	1110	556
666	1112	555
667	1113	553
668	1115	551
669	1116	550
670	1118	548
671	1119	546
672	1121	544
673	1122	542
674	1124	541
675	1126	539
676	1127	538
677	1129	536
678	1130	534
679	1132	532
680	1133	531
681	1135	529
682	1136	527
683	1138	525
684	1140	524
685	1141	522
686	1143	520
687	1145	519
688	1146	517
689	1148	515
690	1149	514
691	1151	512
692	1153	510
693	1155	509
694	1157	507
695	1159	506
696	1160	504
697	1162	503
698	1164	501
699	1166	499
700	1167	498
701	1169	496
702	1172	495
703	1173	493
704	1175	491
705	1177	490
706	1178	488
707	1180	486
708	1182	485
709	1183	483
710	1185	481
711	1187	480
712	1189	478
713	1191	477
714	1192	475
715	1194	473
716	1196	472
717	1198	470
718	1201	469
719	1204	468
720	1205	466
721	1207	464
722	1209	463
723	1210	461
724	1212	459
725	1214	458
726	1216	456
727	1218	455
728	1220	453
729	1222	452
730	1224	450
731	1225	448
732	1227	446
733	1229	445
734	1231	444
735	1233	442
736	1235	440
737	1237	439
738	1239	437
739	1240	435
740	1242	434
741	1244	432
742	1246	431
743	1248	429
744	1250	427
745	1251	426
746	1252	424
747	1253	422
748	1255	420
749	1256	418
750	1258	417
751	1259	415
752	1261	413
753	1262	411
754	1263	409
755	1264	408
756	1265	406
757	1266	404
758	1267	402
759	1268	400
760	1269	398
761	1270	396
762	1271	395
763	1273	393
764	1274	391
765	1276	389
766	1277	388
767	1278	386
768	1279	384
769	1280	382
770	1281	380
771	1282	378
772	1283	376
773	1284	375
774	1285	373
775	1286	371
776	1287	369
777	1288	367
778	1289	365
779	1290	364
780	1291	362
781	1292	360
782	1293	358
783	1294	356
784	1295	354
785	1296	352
786	1297	351
787	1298	349
788	1298	347
789	1299	345
790	1300	343
791	1301	341
792	1302	340
793	1304	338
794	1305	336
795	1306	334
796	1307	333
797	1308	331
798	1309	329
799	1310	327
800	1310	325
801	1311	323
802	1312	322
803	1313	320
804	1314	318
805	1315	316
806	1316	314
807	1317	313
808	1318	311
809	1319	309
810	1320	307
811	1321	305
812	1322	304
813	1323	302
814	1324	300
815	1325	298
816	1326	297
817	1326	295
818	1327	293
819	1328	291
820	1329	289
821	1330	288
822	1331	286
823	1332	284
824	1333	282
825	1335	281
826	1336	279
827	1336	277
828	1337	275
829	1338	274
830	1339	272
831	1340	270
832	1341	268
833	1342	267
834	1343	265
835	1344	263
836	1344	261
837	1345	260
838	1346	258
839	1348	256
840	1349	255
841	1350	253
842	1351	251
843	1352	249
844	1353	248
845	1354	246
846	1355	244
847	1356	243
848	1356	241
849	1357	239
850	1358	237
851	1359	236
852	1360	234
853	1361	232
854	1362	231
855	1363	229
856	1365	227
857	1366	226
858	1367	224
859	1367	222
860	1368	220
861	1369	219
862	1370	217
863	1371	215
864	1372	214
865	1373	212
866	1374	210
867	1375	209
868	1376	207
869	1377	205
870	1378	204
871	1379	202
872	1380	200
873	1381	199
874	1382	197
875	1383	195
876	1384	194
877	1385	192
878	1386	190
879	1386	189
880	1387	187
881	1388	185
882	1389	184
883	1390	182
884	1391	180
885	1393	179
886	1394	177
887	1395	175
888	1396	174
889	1397	172
890	1398	171
891	1398	169
892	1399	167
893	1400	166
894	1401	164
895	1402	162
896	1403	161
897	1404	159
898	1405	157
899	1406	156
900	1407	154
901	1408	153
902	1409	151
903	1410	149
904	1411	148
905	1412	146
906	1413	144
907	1414	143
908	1415	141
909	1416	140
910	1416	138
911	1417	136
912	1418	135
913	1419	133
914	1420	131
915	1421	130
916	1423	128
917	1424	127
918	1425	125
919	1426	124
920	1426	122
921	1427	120
922	1428	119
923	1429	117
924	1430	115
925	1431	114
926	1432	112
927	1433	111
928	1434	109
929	1435	108
930	1436	106
931	1437	104
932	1438	103
933	1439	101
934	1440	100
935	1441	98
936	1442	96
937	1443	95
938	1444	93
939	1444	92
940	1445	90
941	1446	89
942	1447	87
943	1448	85
944	1449	84
945	1450	82
946	1451	81
947	1452	79
948	1453	78
949	1454	76
950	1455	75
951	1456	73
952	1457	71
953	1458	70
954	1459	68
955	1460	67
956	1461	65
957	1462	64
958	1463	62
959	1463	60
960	1464	59
961	1465	57
962	1466	56
963	1468	54
964	1469	53
965	1471	51
966	1472	50
967	1473	48
968	1474	47
969	1476	45
970	1477	44
971	1478	42
972	1479	41
973	1481	39
974	1482	38
975	1484	36
976	1485	34
977	1487	33
978	1488	31
979	1489	30
980	1490	28
981	1492	27
982	1493	25
983	1494	24
984	1495	22
985	1497	21
986	1498	19
987	1500	18
988	1502	16
989	1503	15
990	1505	13
991	1507	12
992	1508	10
993	1510	9
994	1513	7
995	1515	6
996	1517	4
997	1518	3
998	1520	1
999	1521	0
